,boxscore,away_name,away_abbr,away_score,home_name,home_abbr,home_score,winning_name,winning_abbr,losing_name,losing_abbr
17854,201404130SAC,Minnesota,MIN,103,Sacramento,SAC,106,Sacramento,SAC,Minnesota,MIN
17855,201404140ATL,Charlotte,CHA,95,Atlanta,ATL,93,Charlotte,CHA,Atlanta,ATL
17856,201404140CHI,Orlando,ORL,95,Chicago,CHI,108,Chicago,CHI,Orlando,ORL
17857,201404140GSW,Minnesota,MIN,120,Golden State,GSW,130,Golden State,GSW,Minnesota,MIN
17858,201404140HOU,San Antonio,SAS,98,Houston,HOU,104,Houston,HOU,San Antonio,SAS
17859,201404140NOP,Oklahoma City,OKC,89,New Orleans,NOP,101,New Orleans,NOP,Oklahoma City,OKC
17860,201404140PHI,Boston,BOS,108,Philadelphia,PHI,113,Philadelphia,PHI,Boston,BOS
17861,201404140PHO,Memphis,MEM,97,Phoenix,PHO,91,Memphis,MEM,Phoenix,PHO
17862,201404140TOR,Milwaukee,MIL,100,Toronto,TOR,110,Toronto,TOR,Milwaukee,MIL
17863,201404140UTA,LA Lakers,LAL,119,Utah,UTA,104,LA Lakers,LAL,Utah,UTA
17864,201404140WAS,Miami,MIA,93,Washington,WAS,114,Washington,WAS,Miami,MIA
17865,201404150BRK,New York,NYK,109,Brooklyn,BRK,98,New York,NYK,Brooklyn,BRK
17866,201404150LAC,Denver,DEN,105,LA Clippers,LAC,117,LA Clippers,LAC,Denver,DEN
17867,201404160BOS,Washington,WAS,118,Boston,BOS,102,Washington,WAS,Boston,BOS
17868,201404160CHA,Chicago,CHI,86,Charlotte,CHA,91,Charlotte,CHA,Chicago,CHI
17869,201404160CLE,Brooklyn,BRK,85,Cleveland,CLE,114,Cleveland,CLE,Brooklyn,BRK
17870,201404160DEN,Golden State,GSW,116,Denver,DEN,112,Golden State,GSW,Denver,DEN
17871,201404160MEM,Dallas,DAL,105,Memphis,MEM,106,Memphis,MEM,Dallas,DAL
